fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220617 094902	0	0	0	1	auto	depthwise	256	0	1	0.053577504437845	0.336010106120031	4	30	0.0134595210165149	30	12871000	93
20220617 094947	0	0	0	1	auto	depthwise	256	0	1	0.235656839132363	0.20002198585254	10	2	0.0155419680629188	48	12788000	94
20220617 095139	0	0	0	1	auto	depthwise	256	0	1	0.110816182684681	0.334460406693272	10	2	0.0153107451158892	188	13366000	95
20220617 101532	0	0	0	1	auto	depthwise	256	0	1	0.0100365141190344	0.307537087919684	6	29	0.0158197588146096	185	12800000	96
20220617 103704	0	0	0	1	auto	depthwise	256	0	1	0.0102901929412018	0.999692749400936	2	2	0.0141071201181111	976	13093000	97
20220617 104159	0	0	0	1	auto	depthwise	256	0	1	0.0535973159502832	0.625756154855939	8	4	0.014925424723795	134	13354000	98
20220617 113758	0	0	0	1	auto	depthwise	256	0	1	0.0104532743659191	0.999628599225648	3	3	0.0206036953925498	2250	12879000	99
20220617 114449	0	0	0	1	auto	depthwise	256	0	1	0.0459414440314033	0.999813804415803	3	2	0.0153019160461773	284	12889000	100
20220617 115022	0	0	0	1	auto	depthwise	256	0	1	0.104446604895145	0.553316269681943	10	30	0.0128231925665176	29	12786000	101
20220617 121626	0	0	0	1	auto	depthwise	256	0	1	0.0101553427288685	0.998635275078981	0	3	0.0155697357242868	711	13333000	102
20220617 131229	0	0	0	1	auto	depthwise	256	0	1	0.0102107207640388	0.998054767950934	0	5	0.00851664813612096	1113	13077000	103
20220617 131400	0	0	0	1	auto	depthwise	256	0	1	0.176471702706791	0.202544833564332	10	2	0.0165247848428056	193	12923000	104
20220617 133559	0	0	0	1	auto	depthwise	256	0	1	0.010162834737311	0.34973295196486	9	5	0.0188714196480161	1101	13180000	105
20220617 142221	0	0	0	1	auto	depthwise	256	0	1	0.0100182813615816	0.819822532633788	0	7	0.0131553035704195	629	12794000	106
20220617 143843	0	0	0	1	auto	depthwise	256	0	1	0.0101348738988528	0.898017577954007	4	2	0.0345333385841043	728	10927000	107
20220617 145914	0	0	0	1	auto	depthwise	256	0	1	0.0272281895067975	0.810580389190838	9	22	0.0132603277719437	92	12990000	108
20220617 150119	0	0	0	1	auto	depthwise	256	0	1	0.0843785080893426	0.541550759422092	8	2	0.0155178252750873	106	13124000	109
20220617 150322	0	0	0	1	auto	depthwise	256	0	1	0.267829664903567	0.209403464697183	4	30	0.00834763253466323	11	10020000	110
20220617 152149	0	0	0	1	auto	depthwise	256	0	1	0.0101236013168636	0.200004856221674	10	17	0.0128945700835507	533	13315000	111
20220617 152359	0	0	0	1	auto	depthwise	256	0	1	0.213313954183754	0.999911236183107	8	2	0.0134095815506864	71	12999000	112
20220617 152536	0	0	0	1	auto	depthwise	256	0	1	0.261572525422142	0.601036290711792	8	2	0.0152533002863321	81	12889000	113
20220617 152715	0	0	0	1	auto	depthwise	256	0	1	0.281768881175174	0.792459750440926	5	2	0.014400566497576	68	12310000	114
20220617 160537	0	0	0	1	auto	depthwise	256	0	1	0.0100153336170982	0.648247578245212	8	16	0.0144148491965407	269	13034000	115
20220617 161000	0	0	0	1	auto	depthwise	256	0	1	0.0575276820046144	0.999900229964238	9	2	0.0148237888553155	166	13263000	116
20220617 161114	0	0	0	1	auto	depthwise	256	0	1	0.209986239519574	0.467152968785074	10	2	0.0153341290254223	76	12665000	117
20220617 164718	0	0	0	1	auto	depthwise	256	0	1	0.0100618182956466	0.430210373146494	3	27	0.0144087876283293	183	12634000	118
20220617 165109	0	0	0	1	auto	depthwise	256	0	1	0.0396663374198365	0.561394163122016	9	2	0.0149345358329951	234	13357000	119
20220617 165209	0	0	0	1	auto	depthwise	256	0	1	0.268700655984287	0.437746272836095	7	2	0.0163560510084735	51	12787000	120
