fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220616 123558	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	78	TRUE	999983	0.113103797085577	0.200559168080906	7992	220	0.0238382479697673	12257000	61
20220616 123608	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	21	TRUE	999983	0.24058352711022	0.566817811475977	7997	407	0.0221441141627626	12419000	62
20220616 123628	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	126	TRUE	999983	0.0661911662605178	0.202670943838232	6424	464	0.0224130537963617	13110000	63
20220616 123645	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	87	TRUE	999983	0.0821003615226163	0.217659131689708	6182	1024	0.0151275946514206	13194000	64
20220616 123700	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	106	TRUE	999983	0.109996997846222	0.951145259996174	6437	16	0.0181084342286917	12811000	65
20220616 123713	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	53	TRUE	999983	0.116559161608321	0.200730861453155	7984	400	0.0171599058562352	13261000	66
20220616 123729	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	113	TRUE	999983	0.0625552137023837	0.685453139502235	6648	1023	0.01622183864388	13353000	67
20220616 123743	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	69	TRUE	999983	0.171372689061619	0.305179025575695	6339	1019	0.0161253560769481	13610000	68
20220616 123753	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	30	TRUE	999983	0.295744051965899	0.310124571544588	6349	1023	0.0161019875267605	12370000	69
20220616 123858	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	536	TRUE	999983	0.0190314912162914	0.281702461926195	8000	175	0.0128961457776579	13282000	70
20220616 123935	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	310	TRUE	999983	0.0172640021804555	0.926756966992169	7986	358	0.0138452279204612	13231000	71
20220616 123958	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	105	TRUE	999983	0.0774092488444417	0.234485589718261	7976	379	0.0131041061938196	12980000	72
20220616 124033	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	188	TRUE	999983	0.0271858394568947	0.362705431849242	7989	22	0.0149135893668004	13267000	73
20220616 124055	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	175	TRUE	999983	0.0368533150447113	0.857234688725704	7491	62	0.0117707386348289	12553000	74
20220616 124105	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	34	TRUE	999983	0.158683022530479	0.63600317643273	6621	1022	0.0162336958518636	12825000	75
20220616 124204	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	545	TRUE	999983	0.01135866923647	0.912598990223321	7986	877	0.0157154100731707	13047000	76
20220616 124224	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	45	TRUE	999983	0.124233195541196	0.336213049336573	6694	995	0.0154431562522899	13149000	77
20220616 124236	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	63	TRUE	999983	0.189585118521492	0.216929843166974	4711	1024	0.0159173265822254	13382000	78
20220616 124258	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	40	TRUE	999983	0.183127234293307	0.25905282936348	6669	375	0.0161154803875808	13194000	79
20220616 124317	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	123	TRUE	999983	0.0571502483839793	0.860484821827648	3959	1024	0.0160449937079273	13043000	80
20220616 124331	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	94	TRUE	999983	0.0664585045816314	0.999939473122409	7978	658	0.0179087909327683	12601000	81
20220616 124402	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	243	TRUE	999983	0.0235253137658706	0.675811230554593	7998	341	0.0146588576445611	13139000	82
20220616 124416	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	34	TRUE	999983	0.0935500609622561	0.482965974389017	7474	434	0.0223097041626734	12734000	83
